merchant_id,business_name,owner_name,category,city,city_tier,tenure_months,active_days_per_month,daily_tx_count,avg_ticket_size,ticket_size_variance,monthly_upi_volume,repeat_customer_ratio,cashflow_volatility_cv,uses_audio_soundbox,failed_dispute_rate,weekend_stability_ratio,prior_svanidhi_tier,on_time_repayment_ratio,prob_default,default_label,setu_score,risk_category,recommended_tranche
MERCH_0001,Pooja Pushp Bhandar,Pooja Singh,flower_vendor,Mumbai,1,8,20,60,55.9,28.18,67080,0.766,0.257,1,0.29,1.12,0,1.0,0.0056,0,886,Near-Prime,20000
MERCH_0002,Kamla Pushp Bhandar,Kamla Kumar,flower_vendor,Mumbai,1,17,22,50,37.15,12.38,40865,0.758,0.255,1,0.75,0.87,0,1.0,0.0245,0,878,Prime,50000
MERCH_0003,Santosh Fresh Vegetables,Santosh Kumar,vegetable_vendor,Delhi NCR,1,1,22,95,134.82,49.89,281773,0.578,0.319,1,0.24,1.21,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0004,Kisaan Provision & Kirana,Kisaan Singh,kirana_store,Patna,2,14,17,52,313.04,191.25,276727,0.61,0.265,1,0.26,1.13,0,1.0,0.0,0,890,Prime,50000
MERCH_0005,Hari Om Fresh Vegetables,Hari Om Kumar,vegetable_vendor,Indore,2,2,27,80,171.61,32.09,370677,0.85,0.452,1,0.3,0.98,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0006,Sharma Fast Food & Chaat,Sharma Kumar,street_food,Mumbai,1,39,30,77,87.31,44.23,201686,0.421,0.08,1,0.05,0.83,0,1.0,0.0001,0,890,Prime,50000
MERCH_0007,Gupta Ji Chai & Snacks,Gupta Ji Kumar,chai_stall,Jaipur,2,1,19,119,50.24,13.8,113592,0.702,0.409,1,0.27,0.86,0,1.0,0.0088,0,883,Near-Prime,20000
MERCH_0008,Raju City Transport,Raju Singh,auto_rickshaw,Ahmedabad,2,29,26,50,69.73,41.7,90649,0.534,0.356,1,0.05,1.11,1,0.91,0.0047,0,884,Prime,50000
MERCH_0009,Shakti Pushp Bhandar,Shakti Singh,flower_vendor,Patna,2,51,25,12,34.29,21.8,10287,0.728,0.119,0,0.27,0.78,0,1.0,0.0259,0,890,Prime,50000
MERCH_0010,Chai Point Chai & Snacks,Chai Point Kumar,chai_stall,Indore,2,1,30,106,31.56,8.51,100360,0.754,0.457,1,0.22,1.26,0,1.0,0.0082,0,886,Near-Prime,20000
MERCH_0011,Aggarwal Fast Food & Chaat,Aggarwal Singh,street_food,Varanasi,3,8,30,98,63.28,35.92,186043,0.369,0.425,1,0.57,0.91,0,1.0,0.0006,0,890,Near-Prime,20000
MERCH_0012,Kamla Pushp Bhandar,Kamla Singh,flower_vendor,Mumbai,1,21,26,64,46.88,10.26,78008,0.521,0.418,1,1.36,1.14,0,1.0,0.0136,0,890,Prime,50000
MERCH_0013,Apna Provision & Kirana,Apna Singh,kirana_store,Ahmedabad,2,13,23,54,123.67,40.14,153598,0.629,0.466,1,0.14,1.38,0,1.0,0.0017,0,890,Prime,50000
MERCH_0014,Ramesh Chai & Snacks,Ramesh Singh,chai_stall,Patna,2,1,22,89,21.51,10.67,42116,0.319,0.459,1,0.84,1.34,0,1.0,0.0999,0,833,Near-Prime,20000
MERCH_0015,Ram Prasad Fresh Vegetables,Ram Prasad Singh,vegetable_vendor,Varanasi,3,19,21,57,69.38,18.87,83047,0.352,0.291,1,1.27,1.1,2,0.49,0.029,0,874,Prime,50000
MERCH_0016,Aggarwal Fast Food & Chaat,Aggarwal Singh,street_food,Lucknow,2,50,26,73,121.02,76.65,229695,0.721,0.346,1,2.2,1.24,2,0.77,0.0001,0,890,Prime,50000
MERCH_0017,Vikram City Transport,Vikram Kumar,auto_rickshaw,Indore,2,2,29,35,92.15,46.19,93532,0.579,0.248,1,1.61,1.39,0,1.0,0.0149,0,890,Near-Prime,20000
MERCH_0018,Balaji Provision & Kirana,Balaji Singh,kirana_store,Mumbai,1,28,30,88,326.66,178.98,862382,0.43,0.262,1,0.5,1.13,0,1.0,0.0,0,890,Prime,50000
MERCH_0019,Kisaan Provision & Kirana,Kisaan Kumar,kirana_store,Mumbai,1,6,23,69,153.91,63.28,244255,0.455,0.167,1,0.05,1.12,0,1.0,0.0001,0,890,Near-Prime,20000
